1,ACO 1,Generico,Acoplado Generico,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,MMM001,Acoplado,1
2,ACO 2,COOPERTAN,TANQUE,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Acoplado,1
3,ACO 3,ACOPLAR,Acoplado Semi,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,UQV842,Acoplado,1
4,ACO 4,SALTO,Acoplado Generico,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AA706NU,Acoplado,1
5,ACO 5,SALTO,Acoplado Generico,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AB159GB,Acoplado,1
6,ACO 6,SALTO,BATEA SRV 3E,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF102TQ,Acoplado,1
7,ACO 7,SALTO,BATEA SRV 3E,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF144QL,Acoplado,1
8,ACO 8,SALTO,BATEA SRV 3E,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF102TR,Acoplado,1
9,ACO 9,SALTO,BATEA SRV 3E,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Acoplado,1
10,BA 1,CATERPILLAR,Barredora Generica,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,DDD098,Barredora,1
11,BA 2,CATERPILLAR,BU115,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Barredora,1
12,CAM 1,FORD,F7000,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,WXM138,Camion Reg. Asf.,1
13,CAM 2,FORD,F14000,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,CZY234,Camion Reg. Agua,1
14,CAM 3,IVECO,EUROCARGO 260E25,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,JFC183,Camion,1
15,CAM 4,IVECO,EUROCARGO 260E25,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,JFC182,Camion Mixer,1
16,CAM 5,IVECO,EUROCARGO ATTACK 170E22 3690,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,KPQ427,Camion,1
17,CAM 6,IVECO,EUROCARGO ATTACK 170E22 3690,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,KPQ428,Camion,1
18,CAM 7,IVECO,EUROCARGO 260E25,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,KBM972,Camion Mixer,1
19,CAM 8,IVECO,EUROCARGO 260E25,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,MMF791,Camion Mixer,1
20,CAM 11,MERCEDES BENZ,LS 1938-46 AA - Supertorque,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,SFE367,Camion,1
21,CAM 12,MERCEDES BENZ,LK 1618/42,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AKI881,Camion Reg. Asf.,1
22,CAM 13,MERCEDES BENZ,LS 1938-46 AA - Electronico,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,CTG592,Camion,1
23,CAM 16,SCANIA,R 113H-360HP 4X2 38 DSC,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,BJI168,Camion,1
24,CAM 18,VOLKSWAGEN,15.160/35 // 15.170/35,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,DHX489,Camion Reg. Asf.,1
25,CAM 19,VOLKSWAGEN,15.310/35,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,GEE752,Camion Reg. Agua,1
26,CAM 20,VOLKSWAGEN,26.260E,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,GQM336,Camion Tatu,1
27,CAM 21,VOLKSWAGEN,26.260E,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,GUH210,Camion Mixer,1
28,CAM 22,VOLKSWAGEN,26.260E 41 D/C,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,NDS880,Camion Mixer,1
29,CAM 23,VOLKSWAGEN,19.320E 43,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,NDS883,Camion,1
