vehId,vehPatente,vehLabel,vehOdometro,vehHorometro
860896051525046,AA226FW,MOV 76,151179,0
860896051666436,AA379VB,CAM 26,184784,0
860896051675924,AA379VC,CAM 27,138366,0
860896051779577,AA485QS,CAM 29,198113,0
860896051565596,AA519NI,MOV 93,155059,0
860896051779536,AA981PR,CAM 30,371705,0
860896051667640,AB813XF,CAM 34,174354,0
860896051718062,AC091ZH,MOV 94,65202,0
860896051696888,AC106YK,CIAR,186517,0
860896051772242,AC106YX,CIAR 2,132898,0
860896051802171,AC341SV,MOV 39,311402,0
5114,AC341SW,MOV 38,328719,0
860896051492528,AC818GQ,MOV 37,386522,0
860896051492502,AC819NQ,CAM 36,299856,0
860896051428571,AD155CS,CAM 38,121790,0
860896051680338,AD426RY,MOV 40,232683,0
860896051718740,AD461JW,MOV 33,350543,0
860896051496164,AD541WB,MOV 36,343241,0
860896051779445,AE522GN,MOV 99,46798,0
860896051421949,AE993VV,MOV 50,39262,0
860896051409662,AF192MS,MOV 58,134606,0
860896051426054,AF217IF,MOV 62,142837,0
860896051675718,AF217IG,MOV 61,99489,0
860896051796795,AF241TF,MOV 63,73210,0
860896051409563,AF241TZ,CAM 44,151250,0
860896051598886,AF260BI,MOV 64,74604,0
860186051883078,AF294SI,CAM 45,130100,0
864145066065598,AF531FK,CAM 48,99462,0
860896051422228,AF531FX,MOV 68,111482,0
860896051563716,AF531FY,MOV 70,37190,0
860896051566552,AF531FZ,MOV 67,83521,0
860896051421931,AF552EA,MOV 69,124716,0
860896051410579,AF584ZG,MOV 71,79105,0
860896051424042,AF584ZH,MOV 72,34843,0
860896051686087,AF637EG,MOV 74,51335,0
860896051653715,AF637EH,MOV 75,60844,0
860896051421998,AF737ZM,CAM 52,99796,0
860896051752434,AF833GD,CAM 55,19900,0
860896051697472,AF868RL,MOV 78,33389,0
860896051716736,AF868RM,MOV 79,26670,0
860896051779478,AF902MM,MOV 80,46787,0
860896051770865,AF902MN,MOV 81,40384,0
860896051422095,AF902MP,MOV 82,46127,0
860896051756575,AF902MQ,MOV 83,65179,0
860896051675999,AF921LQ,CAM 56,50796,0
869738065995297,AF999GF,CAM 59,34608,0
860896051688497,AG055EK,MOV 86,48520,0
860896051779726,AG144DG,CAM 60,23937,0
860896051411148,BOTCAT,MC 7,183,28616820
863257061995017,CAT120H,MN 15,809,28747798
860896051409621,CAT140H,MN 13,1222,7887169
860896051421899,CAT140K,MN 9,822,34246274
860896051779825,CAT246D,MC 8,1084,5543296
866770056747661,CAT246D,MC 6,170,16777648
860896051504728,CAT-CS54,RC 36,48,13686808
860896051484491,CATD8T,D 8T,1,64419668
860896051823185,CZY234,CAM 2,1200,0
860896051428217,DYNAPAC,TER 9,394,1258047
860896051779684,F6,F 6,396,408229
860896051802270,GAD093,MOV 10,355041,0
864145065879148,HAMM,RC 42,374,9091017
5130,KBM972,CAM 7,134080,0
860896051422236,KPQ428,CAM 6,340729,0
860896051779460,KQP427,CAM 5,153037,0
860896051497063,KVF615,MOV 53,250922,0
860896051757656,LDH938,MOV 27,338156,0
860896051422004,LHS660,MOV 52,9634,0
5122,LIANGONG,RC 41,41,995835
5118,LIEBHRR,RE 12,0,147600
5119,LIEBHRR,RC 19,157,15824942
860896051769842,LIEBHRR,RE 10,53,6757362
860896051679439,MMF791,CAM 8,198129,0
860896051719235,MN16-NEW H,MN 16,1310,1220234
860896051662856,MYM315,MOV 92,213500,0
5146,NDS880,CAM 22,310,0
860896051752442,NDS883,CAM 23,510491,0
860896051779585,OBD881,MOV 65,187170,0
860896051719243,ODV889,MOV 8,338996,0
5123,PAUNY,TRA 8,864,10055456
5117,PAUNY,TRA 8,395,7981754
860896051653996,PBA738,MOV 46,271042,0
860896051487791,PCN255,CAM 25,186900,0
860896051716504,POQ248,CAM 28,407170,0
860896051741163,RC13,RC 13,134,516380
860896051426591,RC29,RC 29,150,19361447
860896051529410,RC38,RC 38,350,10307627
860186050574165,RC39,RC 39,305,7547592
5136,SDLG,PC 19,455,9190927
5138,SDLG,PC 18,426,11716669
5144,SDLG,PC 16,50,14899078
860896051666238,SDLG-MN10,MN 10,848,15012771
5113,SDLG-MN7,MN 7,360,18675117
860896051753861,SDLG-MN8,MN 8,123,11138194
860896051679371,SFE367-c11,CAM 11,4193,0
860896051434561,SMH253,CAM 41,2730,0
860896051496172,TER6-ASTAR,TER 6,321,11575457
860896051739316,VOGELE,TER 8,363,11182665
5116,VOLVO,RC 35,137,7119430
5145,VOLVO,RE 8,36,9804461
5147,VOLVO,RE 5,79,20484917
860896051416196,VOLVO,MN 2,194,8447176
863940059147986,WIRTGEN-F5,F 5,59,6375611
860896051662435,WXM138,CAM 1,325063,0
