vehId,vehPatente,vehLabel,vehOdometro,vehHorometro
860896051525046,AA226FW,MOV 76,150916.0,0
860896051666436,AA379VB,CAM 26,184333.0,0
860896051675924,AA379VC,CAM 27,138073.0,0
860896051779577,AA485QS,CAM 29,197353.0,0
860896051565596,AA519NI,MOV 93,154455.0,0
860896051779536,AA981PR,CAM 30,371705.0,0
860896051667640,AB813XF,CAM 34,173647.0,0
860896051718062,AC091ZH,MOV 94,64852.0,0
860896051696888,AC106YK,CIAR,186127.0,0
860896051772242,AC106YX,CIAR 2,132568.0,0
860896051802171,AC341SV,MOV 39,309508.0,0
5114,AC341SW,MOV 38,327305.6,0
860896051492528,AC818GQ,MOV 37,384141.0,0
860896051492502,AC819NQ,CAM 36,299568.0,0
860896051428571,AD155CS,CAM 38,121790.0,0
860896051680338,AD426RY,MOV 40,232268.0,0
860896051718740,AD461JW,MOV 33,348615.0,0
860896051496164,AD541WB,MOV 36,342234.0,0
860896051779445,AE522GN,MOV 99,46605.0,0
860896051421949,AE993VV,MOV 50,38988.0,0
860896051409662,AF192MS,MOV 58,133396.0,0
860896051426054,AF217IF,MOV 62,140857.0,0
860896051675718,AF217IG,MOV 61,98260.0,0
860896051796795,AF241TF,MOV 63,72388.0,0
860896051409563,AF241TZ,CAM 44,149773.0,0
860896051598886,AF260BI,MOV 64,74109.0,0
860186051883078,AF294SI,CAM 45,128285.0,0
864145066065598,AF531FK,CAM 48,97762.0,0
860896051422228,AF531FX,MOV 68,109017.0,0
860896051563716,AF531FY,MOV 70,36753.0,0
860896051566552,AF531FZ,MOV 67,83149.0,0
860896051421931,AF552EA,MOV 69,123503.0,0
860896051410579,AF584ZG,MOV 71,78055.0,0
860896051424042,AF584ZH,MOV 72,34493.0,0
860896051686087,AF637EG,MOV 74,50510.0,0
860896051653715,AF637EH,MOV 75,59884.0,0
860896051421998,AF737ZM,CAM 52,99796.0,0
860896051752434,AF833GD,CAM 55,19900.0,0
860896051697472,AF868RL,MOV 78,32829.0,0
860896051716736,AF868RM,MOV 79,26636.0,0
860896051779478,AF902MM,MOV 80,46193.0,0
860896051770865,AF902MN,MOV 81,38452.0,0
860896051422095,AF902MP,MOV 82,44788.0,0
860896051756575,AF902MQ,MOV 83,63502.0,0
860896051675999,AF921LQ,CAM 56,49063.0,0
869738065995297,AF999GF,CAM 59,32815.0,0
860896051688497,AG055EK,MOV 86,46422.0,0
860896051779726,AG144DG,CAM 60,21985.0,0
860896051411148,BOTCAT,MC 7,180.0,28592611
863257061995017,CAT120H,MN 15,699.0,28657581
860896051409621,CAT140H,MN 13,1047.0,7725268
860896051421899,CAT140K,MN 9,647.0,34055687
860896051779825,CAT246D,MC 8,1082.0,5529653
866770056747661,CAT246D,MC 6,137.0,16711752
860896051504728,CAT-CS54,RC 36,0.0,13413471
860896051484491,CATD8T,D 8T,1.0,64419668
860896051823185,CZY234,CAM 2,1201.0,0
860896051428217,DYNAPAC,TER 9,394.0,1258047
860896051779684,F6,F 6,395.0,408229
860896051802270,GAD093,MOV 10,354495.0,0
864145065879148,HAMM,RC 42,330.0,8994587
5130,KBM972,CAM 7,134080.9,0
860896051422236,KPQ428,CAM 6,339960.0,0
860896051779460,KQP427,CAM 5,153003.0,0
860896051497063,KVF615,MOV 53,250615.0,0
860896051757656,LDH938,MOV 27,338156.0,0
860896051422004,LHS660,MOV 52,9491.0,0
5122,LIANGONG,RC 41,35.2,970558
5118,LIEBHRR,RE 12,0.0,147600
5119,LIEBHRR,RC 19,131.2,15777829
860896051769842,LIEBHRR,RE 10,33.0,6602490
860896051679439,MMF791,CAM 8,198129.0,0
860896051719235,MN16-NEW H,MN 16,1054.0,1007190
860896051662856,MYM315,MOV 92,213500.0,0
5146,NDS880,CAM 22,182.4,0
860896051752442,NDS883,CAM 23,510491.0,0
860896051779585,OBD881,MOV 65,186994.0,0
860896051719243,ODV889,MOV 8,338980.0,0
5123,PAUNY,TRA 8,862.0,9979050
5117,PAUNY,TRA 8,372.4,7493301
860896051653996,PBA738,MOV 46,270929.0,0
860896051487791,PCN255,CAM 25,186263.0,0
860896051716504,POQ248,CAM 28,407169.0,0
860896051741163,RC13,RC 13,108.0,506369
860896051426591,RC29,RC 29,126.0,19276101
860896051529410,RC38,RC 38,302.0,9983773
860186050574165,RC39,RC 39,252.0,7273349
5136,SDLG,PC 19,388.7,8986468
5138,SDLG,PC 18,387.8,11547943
5144,SDLG,PC 16,0.0,14850536
860896051666238,SDLG-MN10,MN 10,770.0,14866357
5113,SDLG-MN7,MN 7,345.1,18653549
860896051753861,SDLG-MN8,MN 8,123.0,11138194
860896051679371,SFE367-c11,CAM 11,4190.0,0
860896051434561,SMH253,CAM 41,2649.0,0
860896051496172,TER6-ASTAR,TER 6,320.0,11575394
860896051739316,VOGELE,TER 8,355.0,11117376
5116,VOLVO,RC 35,132.3,7069175
5145,VOLVO,RE 8,25.5,9640963
5147,VOLVO,RE 5,75.1,20355459
860896051416196,VOLVO,MN 2,15.0,8076572
863940059147986,WIRTGEN-F5,F 5,59.0,6322609
860896051662435,WXM138,CAM 1,325063.0,0
